filename,segment_start_ms,segment_end_ms,duration_ms,label,channel
02155880-35af-424b-8671-b8e5a275116b.mp3,4322,5438,1116,not_noise
02155880-35af-424b-8671-b8e5a275116b.mp3,19394,20094,700,not_noise
02155880-35af-424b-8671-b8e5a275116b.mp3,23394,24894,1500,not_noise
02155880-35af-424b-8671-b8e5a275116b.mp3,35554,37182,1628,not_noise
02155880-35af-424b-8671-b8e5a275116b.mp3,43874,44446,572,not_noise
02155880-35af-424b-8671-b8e5a275116b.mp3,50946,52062,1116,not_noise
02155880-35af-424b-8671-b8e5a275116b.mp3,67202,68894,1692,not_noise
02155880-35af-424b-8671-b8e5a275116b.mp3,89090,90270,1180,not_noise
02155880-35af-424b-8671-b8e5a275116b.mp3,98818,100958,2140,not_noise
02155880-35af-424b-8671-b8e5a275116b.mp3,105282,106846,1564,not_noise
02155880-35af-424b-8671-b8e5a275116b.mp3,108482,110046,1564,not_noise
02155880-35af-424b-8671-b8e5a275116b.mp3,115010,116350,1340,not_noise
02155880-35af-424b-8671-b8e5a275116b.mp3,134946,137662,2716,not_noise
02155880-35af-424b-8671-b8e5a275116b.mp3,163938,165278,1340,not_noise
0ca15deb-5885-4ec9-a0f6-209e711880ca.mp3,770,1182,412,not_noise
0ca15deb-5885-4ec9-a0f6-209e711880ca.mp3,3394,4030,636,not_noise
0ca15deb-5885-4ec9-a0f6-209e711880ca.mp3,17666,18846,1180,not_noise
0ca15deb-5885-4ec9-a0f6-209e711880ca.mp3,19138,19710,572,not_noise
0ca15deb-5885-4ec9-a0f6-209e711880ca.mp3,32482,33278,796,noise
0ca15deb-5885-4ec9-a0f6-209e711880ca.mp3,33634,34718,1084,not_noise
0ca15deb-5885-4ec9-a0f6-209e711880ca.mp3,57826,59774,1948,not_noise
0ca15deb-5885-4ec9-a0f6-209e711880ca.mp3,74850,76862,2012,not_noise
0ca15deb-5885-4ec9-a0f6-209e711880ca.mp3,95458,96318,860,not_noise
0ca15deb-5885-4ec9-a0f6-209e711880ca.mp3,96546,98110,1564,not_noise
0ca15deb-5885-4ec9-a0f6-209e711880ca.mp3,112098,113534,1436,not_noise
11a72914-ebfa-4115-bd23-0b968a88c837.mp3,1250,1854,604,not_noise
11a72914-ebfa-4115-bd23-0b968a88c837.mp3,3522,4094,572,not_noise
11a72914-ebfa-4115-bd23-0b968a88c837.mp3,12642,13150,508,noise
11a72914-ebfa-4115-bd23-0b968a88c837.mp3,18434,18750,316,noise
11a72914-ebfa-4115-bd23-0b968a88c837.mp3,20482,20798,316,noise
11a72914-ebfa-4115-bd23-0b968a88c837.mp3,23010,23710,700,noise
11a72914-ebfa-4115-bd23-0b968a88c837.mp3,23874,25438,1564,noise
11a72914-ebfa-4115-bd23-0b968a88c837.mp3,26690,27230,540,noise
11a72914-ebfa-4115-bd23-0b968a88c837.mp3,28258,29374,1116,noise
